,track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1334,imaginary friend,clément leroux,01FnTmSe5zIE0LmqPISajN,0.686,0.574,8,-8.868,1,0.0272,0.0706,0.0647,0.0894,0.545,123.0,audio_features,spotify:track:01FnTmSe5zIE0LmqPISajN,https://api.spotify.com/v1/tracks/01FnTmSe5zIE0LmqPISajN,https://api.spotify.com/v1/audio-analysis/01FnTmSe5zIE0LmqPISajN,232195,4
1335,踊る人たち,hanare gumi,6VScORohpeHSfdLkPUZuZX,0.568,0.24,7,-13.851,1,0.0292,0.902,0.099,0.111,0.508,94.933,audio_features,spotify:track:6VScORohpeHSfdLkPUZuZX,https://api.spotify.com/v1/tracks/6VScORohpeHSfdLkPUZuZX,https://api.spotify.com/v1/audio-analysis/6VScORohpeHSfdLkPUZuZX,305867,4
1336,las horas,masappan,7tXcjEswxD6rZK2XPb0X7V,0.702,0.477,5,-8.149,1,0.024,0.229,5.34e-05,0.105,0.705,100.062,audio_features,spotify:track:7tXcjEswxD6rZK2XPb0X7V,https://api.spotify.com/v1/tracks/7tXcjEswxD6rZK2XPb0X7V,https://api.spotify.com/v1/audio-analysis/7tXcjEswxD6rZK2XPb0X7V,183507,4
1337,up in the air,thirty seconds to mars,0zqwz7SNny9fwqSDpIu4qN,0.483,0.862,11,-3.864,0,0.0857,0.00577,0.0,0.227,0.449,124.025,audio_features,spotify:track:0zqwz7SNny9fwqSDpIu4qN,https://api.spotify.com/v1/tracks/0zqwz7SNny9fwqSDpIu4qN,https://api.spotify.com/v1/audio-analysis/0zqwz7SNny9fwqSDpIu4qN,275787,4
1338,sou eu,edson & hudson,7BLf2w4tV2dBlE8QQ5Zjut,0.529,0.767,5,-5.193,1,0.0382,0.0507,0.0,0.78,0.335,73.982,audio_features,spotify:track:7BLf2w4tV2dBlE8QQ5Zjut,https://api.spotify.com/v1/tracks/7BLf2w4tV2dBlE8QQ5Zjut,https://api.spotify.com/v1/audio-analysis/7BLf2w4tV2dBlE8QQ5Zjut,252027,4
1339,f.e.e.l.,lucky luke,4pH3ZfOYekw7xcROweHa66,0.854,0.798,1,-5.557,0,0.159,0.223,0.0452,0.0828,0.055,125.023,audio_features,spotify:track:4pH3ZfOYekw7xcROweHa66,https://api.spotify.com/v1/tracks/4pH3ZfOYekw7xcROweHa66,https://api.spotify.com/v1/audio-analysis/4pH3ZfOYekw7xcROweHa66,204716,4
1340,is this the end?,lorne balfe,31S08C5kWRfqHrhEdx45UB,0.191,0.152,0,-23.55,0,0.0315,0.535,0.749,0.106,0.0408,146.305,audio_features,spotify:track:31S08C5kWRfqHrhEdx45UB,https://api.spotify.com/v1/tracks/31S08C5kWRfqHrhEdx45UB,https://api.spotify.com/v1/audio-analysis/31S08C5kWRfqHrhEdx45UB,124545,4
1341,cha cha slide (re-recorded) [remastered],mr. c,5KA1IVw6p16emRC4qr3Op6,0.964,0.782,0,-3.497,1,0.157,0.00458,0.000223,0.338,0.624,122.03,audio_features,spotify:track:5KA1IVw6p16emRC4qr3Op6,https://api.spotify.com/v1/tracks/5KA1IVw6p16emRC4qr3Op6,https://api.spotify.com/v1/audio-analysis/5KA1IVw6p16emRC4qr3Op6,386066,4
1342,per aspera ad astra,paul kalkbrenner,5508GWUXjqNDmUuiCGOlnT,0.843,0.472,0,-11.914,1,0.107,0.00709,0.925,0.266,0.951,115.003,audio_features,spotify:track:5508GWUXjqNDmUuiCGOlnT,https://api.spotify.com/v1/tracks/5508GWUXjqNDmUuiCGOlnT,https://api.spotify.com/v1/audio-analysis/5508GWUXjqNDmUuiCGOlnT,419544,4
1343,life is a balloon,frek!,2GoAhMIvnZ1n7ZEqj7jrAa,0.556,0.264,11,-12.118,0,0.145,0.482,0.697,0.102,0.501,169.955,audio_features,spotify:track:2GoAhMIvnZ1n7ZEqj7jrAa,https://api.spotify.com/v1/tracks/2GoAhMIvnZ1n7ZEqj7jrAa,https://api.spotify.com/v1/audio-analysis/2GoAhMIvnZ1n7ZEqj7jrAa,104471,4
